Time_ms,Pending_Tasks,Active_Workers
0,498,2
100,494,2
200,492,2
300,488,2
400,484,2
500,480,2
600,476,2
700,472,2
800,468,2
900,464,2
1002,460,2
1102,456,2
1202,452,2
1302,448,2
1402,444,2
1502,440,2
1602,436,2
1703,432,2
1803,428,2
1903,424,2
2003,420,2
2103,416,2
2203,412,2
2303,408,2
2403,404,2
2503,400,2
2603,396,2
2704,392,2
2804,388,2
2904,384,2
3004,380,2
3104,376,2
3204,372,2
3304,368,2
3404,364,2
3504,360,2
3604,356,2
3706,352,2
3806,348,2
3906,344,2
4006,340,2
4107,336,2
4207,332,2
4307,328,2
4407,324,2
4507,320,2
4607,316,2
4707,312,2
4808,308,2
4908,304,2
5008,300,2
5108,296,2
5208,292,2
5308,288,2
5408,284,2
5508,280,2
5608,276,2
5708,272,2
5809,268,2
5909,264,2
6009,260,2
6109,256,2
6209,252,2
6309,248,2
6409,244,2
6509,240,2
6609,236,2
6709,232,2
6809,228,2
6910,224,2
7010,220,2
7110,216,2
7210,212,2
7310,208,2
7410,204,2
7510,200,2
7610,196,2
7710,192,2
7811,188,2
7911,184,2
8011,180,2
8111,176,2
8211,172,2
8311,168,2
8411,164,2
8511,160,2
8611,156,2
8712,152,2
8812,148,2
8912,144,2
9012,140,2
9112,136,2
9212,132,2
9312,128,2
9412,124,2
9512,120,2
9613,116,2
9713,112,2
9813,108,2
9913,104,2
10013,100,2
10113,96,2
10213,92,2
10313,88,2
10414,84,2
10514,80,2
10614,76,2
10714,72,2
10814,68,2
10914,64,2
11014,60,2
11114,56,2
11214,52,2
11314,48,2
11415,44,2
11515,40,2
11615,36,2
11715,32,2
11815,28,2
11915,24,2
12015,20,2
12115,16,2
12215,12,2
12315,8,2
12416,4,2
12516,0,2
